"","commit_hash","commit_message","fix","classification","contains_bug","ns","nd","nf","entrophy","la","ld","lt","ndev","age","nuc","exp","rexp","sexp","glm_probability","name","commit_words","bayesian_score","spam_ham","jacob","charles"
"196","084d61fb9984bad6ccc3522ca3e991f04f87577b","Spark executor environmental variables support","False","None","f",2,3,4,0.935251138235052,67,48,290.25,6,0.823831018518518,25,3997.5,2.28173932369946,139,0,"PredictionIO",5,0.5,"ham","False","False"
"227","0987e59a843f756ef63f1e6bf7e20e94951f50f4","Bugzilla 4054: Retain previously set output properties when adding new ones.git-svn-id: https://svn.apache.org/repos/asf/xalan/java/trunk@336011 13f79535-47bb-0310-9956-ffa450edef68n","True","Corrective","f",1,1,1,0,1,1,3321,9,3.00134259259259,118,301,1.33318422311003,295,0,"xalan-j",28,0.76779197847,"ham","False","False"
"15","09b48d1bff6d38848dfc99c347c938986f8e982a","  + [RA] Warn if dh_python is used without debian/pycompat in non-CDBS packages and check for the debhelper version required for Python policy.  Thanks, Raphau00c3u00abl Hertzog.  (Closes: #375318)","False","None","f",3,4,6,1.72026392561025,45,1,808.5,4,27.5942978395062,541,491.5,1.01148636316542,160,0,"lintian",20,0.783850266436,"spam","False","False"
"210","09d72e4201a7d137eebe2dc1f884c271faecd49b","merge in lmp-mr1-release history after reset to eb6e0072758667df89ab0822aafc146ca3e3db58","False","Merge","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"android_packages_apps_DeskClock",7,0.819607470719,"ham","False","False"
"78","0a627aa86c7e196320199b40fb5b08fe135e378f","Added a leveldb based message store.","False","Feature Addition","f",1,11,19,3.25432008719483,1388,0,12.5263157894737,7,1.42441398635478,9,1396,0.0545762966551621,976,0,"fuse",5,0.520488733808,"ham","False","False"
"283","0aead45495eb08131808cf9a660ac0dfae78412b","Fix: spits out an error message when wrong use of variable in ini files. Like unset variable used in another variable.","True","Corrective","f",1,1,1,0,10,4,813,31,17.9002199074074,120,19,1.05586523546486,0,0,"shinken",14,0.0220133842695,"ham","False","False"
"31","0b30bdfd327e240c2d3e565235959bccd9fc6884","DOC: update to index.html","False","Non Functional","f",1,1,1,0,3,1,356,4,78.0272222222222,23,0,0,0,0,"slicer2",4,0.908343755939,"spam","False","True"
"332","0b3e411bfcd1ffc719c41a3f62137f75b17a09ab","Autoconf: Use AC_CHECK_MEMBERSAC_CHECK_MEMBERS has been available since autoconf 2.50,nwhich was released in 2001. Use this, rather than rolling ournown mechanism to check for structure membership.nnChange-Id: Ic63bfdd6c448ce3cf2ed13d8f1f36d02e18bd223nReviewed-on: http://gerrit.openafs.org/1973nReviewed-by: Derrick Brashear <shadow@dementia.org>nTested-by: Derrick Brashear <shadow@dementia.org>n","False","None","f",1,1,1,0,4,43,132,67,56.2254282407407,21,3842,1.01778554706099,3701,0,"openafs-netbsd5",37,0.172882325844,"ham","False","False"
"145","0c03b5477ee3f93525692aac8f330557d335894d","AP_LeadFilter: added set_lag feature to allow us to adjust it for different GPSs","False","None","f",1,2,3,0.914175415831938,43,22,44.3333333333333,1,33.9099884259259,7,445,1.01802156649054,234,0,"ardupilot-mega",8,0.0274523420918,"ham","False","False"
"296","0c54fd5c5721f46e84754a3d83d0a596ec98825e","added Boolean field providesManagement to EntitlementCert","False","Feature Addition","t",1,2,2,0.672294817075638,14,3,526.5,3,3.9297337962963,37,40.5,1.24070446093303,41,0,"rhsm-qe",5,0.5,"spam","False","False"
"189","0ed690bfb4fdfa86cb6f75c19e24b8ff39a1756c","Send meeting invite mail as multipart/alternative* Turns out that Exchange 2003 requires the ics attachment to be in an  multipart/alternative, rather than a multipart/mixed MIME messagen* Exchange 2007 accepts both typesn* Therefore, we change our output for this particular situation, i.e.n  a single attachment that is an ics file, to multipart/alternativen* Rename FLAG_SUPPRESS_CONTENT_DISPOSITION to FLAG_ICS_ALTERNATIVE_PARTn  and make this flag do double duty - 1) suppress the Content-Dispositionn  header (also required by Exchange) and 2) send the message asn  multipart/alternativen* Add unit tests for Rfc822Output to check that mime parts are composedn  properlynnBug: 2516394nChange-Id: I60e26f57b8ecaf01d0340e7828533334e0e7d45an","True","Corrective","t",2,5,5,1.19840263996514,186,33,1535.4,12,26.3763009259259,133,1021,1.10361186362374,80,0,"packages_apps_Email",67,0.724473978862,"ham","False","False"
"344","0ee5b48679e86bd51b1d62fe82b608d7644a19ed","MOBI-1013 iOS 7 Theme - revert ios7 theme for current prod branchgit-svn-id: http://anonsvn.icesoft.org/repo/icemobile/trunk/icemobile@39988 8668f098-c06c-11db-ba21-f49e70c34f74n","False","None","f",1,1,1,0,4,4,196,9,13.0428587962963,12,10779,1.0766703079147,293,0,"icemobile",27,0.733950352271,"ham","False","False"
"135","0f0a0e20112f862727f5de4374a8f8eccd0977f4","fix puzzle disqus thread","True","Corrective","f",1,1,1,0,1,1,125,3,4.57516203703704,31,31601,1.21857149362247,10366,0,"lila",4,0.47795769955,"ham","True","False"
"23","0fcaaf29d2939b93dca80e79603857fa2f0e7d6a","we now use JIRAgit-svn-id: https://mifos.svn.sourceforge.net/svnroot/mifos/trunk@16502 a8845c50-7012-0410-95d3-8e1449b9b1e4n","False","None","f",1,1,1,0,2,2,329,47,35.4656481481481,35,14300,1.0281962984526,42,0,"mifos-head",18,0.561586995742,"ham","False","False"
"213","0ffc68892d75a9d6570354d0f04b0cfda7d978cd","performance: faster opening of lists (~20%), better scrolling* avoid duplicate distance calculation in distance sortern* avoid String.format() wherever possiblen* avoid lookups with constant values in databasen* avoid reinitializing database all the timen","False","None","t",2,6,12,3.08923867201485,71,65,1178.5,17,13.1057214506173,489,1165.5,1.9899492362213,81,0,"cgeo",26,0.00123848534855,"ham","False","False"
"336","114c3c9d9fafae5ad1f184b24b7daf277689bedb","Title: release TestContext if none was received from client Description: @bug W-1572082@ @rev goliver@","False","None","t",1,1,1,0,10,8,310,21,2.11282407407407,7,263,1.47330017310516,79,0,"aura",11,0.0448025239043,"ham","False","False"
"252","1167cc623f9bf616a96f911e8f32426e15a5f9e4","TEIIDDES-2198 added handling of virtual parameter changes to force re-validation of the virtual procedure transformation","False","Feature Addition","f",1,1,1,0,98,1,2396,14,454.241145833333,6,70,1.00220147384087,69,0,"teiid-designer",12,0.301986405351,"ham","False","False"
"37","11a31c003fa4d1aeb033f58eaa6bfe6c8d41bd5a","TEIDDES-2094: Adds function for converting annotated translator classes into mxd files* Takes a teiid annotated translator source file, reads the annotationsn  and outputs an mxd xml file ready to be plugged into designer.n","False","None","f",2,8,15,2.9779886048516,2783,2,20.2666666666667,16,30.9276350308642,41,17732,1.03559523331636,1621,0,"teiid-designer",26,0.5,"ham","False","False"
"55","12353810d496d1f5c02d747c2e9e6c36b36b9d31","Removed fixed limit on number of tile images (was 5000)","True","Corrective","f",1,1,1,0,94,71,2825,4,0.213263888888889,85,7116,5.68902637577336,4726,0,"DynmapCore",7,0.0769252429739,"ham","False","False"
"318","1315b8ebefa2927686d4d7f390982045f1e89f2b","AMBARI-13850. Fixed ECS client component dependency (Vijay Srinivasaraghavan via smohanty)","True","Corrective","f",1,2,2,0.650022421648354,2,4,60.5,59,23.2672974537037,4,3051.5,1.0237483097984,2308,0.01,"ambari",10,0.757156136845,"ham","False","False"
"106","132d42af381e454b4c3460c553bb0f93e6808f31","remove more dead code. [126]","False","None","f",1,1,2,1,0,10,622.5,5,0.0075462962962963,38,166.5,100.386503067485,166,0,"mcidasv",4,0.751094987693,"spam","True","True"
"285","134e0b71ad7da8511b039697c1cc214419abb3fc","gift rollup tablesgit-svn-id: svn://svn.orangeleap.com/tangerine/tangerine/trunk@8839 0f581344-5646-3a48-8ded-616bfea576c6n","False","None","f",1,1,1,0,43,0,7,10,106.912974537037,12,4742,1.0093534017207,898,0,"orangeleap-tangerine",18,0.364813685104,"ham","False","False"
"342","134e2f072efb9d119490ef3c167068510c88f59f","Cleaned up the code in CommentsListViewController.Also fixed the issue found during internal testing.","True","Corrective","f",1,1,1,0,6,17,540,3,25.0634027777778,29,583,1.03989881217911,441,0,"WordPress-iOS",8,0.360483041799,"ham","False","True"
"284","13ac2c37f49fbce88b20432ee0be3c22de2ef9f9","Fix jsonGetSubmodulesAction for work with the nodeId parameter","True","Corrective","t",1,2,2,0.996485989886783,19,24,148,10,0.501400462962963,169,930.5,2.49581034602156,895,0,"PHProjekt",5,0.5,"ham","False","False"
"59","141da30089fadd1117b221e4fbaef3921c413752","KV pairs updategit-svn-id: http://svn.esdi-humboldt.eu/repo/humboldt2/trunk@3158 5d385326-3dfc-11dd-8f4f-eb0017f4c70cn","False","None","f",1,1,1,0,1,0,14,4,34.6013888888889,2,80,1.02890057399751,49,0,"hale",19,0.0562448633442,"ham","True","False"
"69","1495865c87f8f35c3e23bd0696e9ad8a7ff5bea0","Trivial fix for issue 4067, UiBinderGenerator is not stable. Miguel would have fixed this earlier, but thought that the values from domId were being used directly as, well, DOM ids. Actually they name Java fields which will hold dom ids at runtime, generated by calls to com.google.gwt.dom.client.Document.get().createUniqueId().Manually tested stability via diff of generated codennReviewed by mmendeznngit-svn-id: https://google-web-toolkit.googlecode.com/svn/trunk@6486 8db76d5a-ed1c-0410-87a9-c151d255dfc7n","True","Corrective","f",1,1,1,0,2,2,1399,31,0.60037037037037,16,1182,2.66563849475632,943,0,"gwt",55,0.71768813427,"ham","False","False"
"256","14d49a07a158c219e8dc74887ea7db606799d329","remove bash_profile.sh from finagle","False","None","f",1,1,2,0.811278124459133,1,3,4,120,56.6962847222222,3,292.5,1.01322838001951,280,0,"FrameworkBenchmarks",4,0.855531187363,"ham","False","False"
"116","14f22ca0ded9047f00db3996c9a1e5870a6b58d7","Fixed bug 1465574 - UnusedPrivateMethod no longer reports false positives when a private method is called from a method with a parameter of the same name.git-svn-id: https://pmd.svn.sourceforge.net/svnroot/pmd/trunk@4326 51baf565-9d33-0410-a72c-fc3788e3496dn","True","Corrective","t",1,4,4,1.23664074194117,13,2,286.5,10,28.1426446759259,1247,15989.5,1.30493244661937,14146,0,"pmd",30,0.926400529803,"spam","False","False"
"303","15330331b60a4d5e352eda284b4cf3a4c1963ba2","Merge Upgrade to tzdata2014e.","False","Merge","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"platform_bionic",3,0.5,"ham","False","False"
"65","180211d20e57ca689bb956e7d2fd332b91dd9b31","Changed return value of read.","False","None","f",1,5,6,2.05108289894018,22,47,668.166666666667,18,0.625532407407407,257,34597.5,1.77517071846612,5195,0,"mona",4,0.000174945276874,"ham","False","False"
"22","184b197edb3397537154222930434f113b9ecdbb","changed ProgressIndicator to be more close to IProgressMonitorgit-svn-id: http://svn.esdi-humboldt.eu/repo/humboldt2/branches/gssoil@4938 5d385326-3dfc-11dd-8f4f-eb0017f4c70cn","False","None","f",1,8,8,2.55339877389659,40,36,255,14,5.8221556712963,76,5693.5,1.05556646855081,5244,0,"hale",21,0.697039603666,"ham","False","False"
"43","185ef1d4cf1ecfe0d963ea021982c2fda4aab776","Add missing @override to goog.ui (part 2).R=nnazenDELTA=43  (19 added, 16 deleted, 8 changed)nnnRevision created by MOE tool push_codebase.nMOE_MIGRATION=4840nn--HG--nbranch : closure-librarynextra : convert_revision : svn%3A0b95b8e8-c90f-11de-9d4f-f947ee5921c8/trunk%401897n","False","Feature Addition","f",1,2,18,3.51776707826028,27,24,336.611111111111,90,26.9313361625515,279,650.5,1.01020731466079,637,0,"plovr",35,0.813612307074,"ham","False","False"
"206","1928d2edda8590ebb0e2297f70cc60d4ff586f00","Removed tabs from xml documentation","False","Non Functional","f",1,1,2,0.632130278121971,44,44,66,13,0.0239930555555556,2,76.5,32.2590448625181,4,0,"cartoweb3",4,0.832566962931,"spam","False","False"
"287","1a08f07771214e06f9c9c8e580467a83c5ab6103","* Adapted to use io-idwrap and grammar identifierssvn path=/trunk/StrategoXT/; revision=719n","False","None","t",1,2,5,2.19165767069392,21,13,157.4,3,62.8413009259259,34,1722,5.5755936731898,255,0,"strategoxt",11,0.00863544644626,"ham","False","False"
"104","1a9c72a783569b176a3c5da2bcce3a1ad288b208","Making the sip balancer being able to handle dialog creating requests from external as well as internal for UAC type of apps and make MSS lb aware (Contact header is the one of the LB and Route Header added and targeted to LB). Test case added for UAC applications going through LBgit-svn-id: https://mobicents.googlecode.com/svn/trunk/servers/sip-servlets@3499 bf0df8d0-2c1f-0410-b170-bd30377b63dcn","False","Feature Addition","t",2,4,4,1.46150159972109,106,6,488,4,36.7859346064815,100,2839.5,1.00714213651426,873,0,"sip-servlets",49,0.5,"ham","False","False"
"77","1aa0ee5d5fc4d1a4e9d83758f36742f94713ad0c","add test for goog.math.Box.boundingBoxR=brennemannDELTA=12  (12 added, 0 deleted, 0 changed)nnnRevision created by MOE tool push_codebase.nMOE_MIGRATION=582nn--HG--nbranch : closure-librarynextra : convert_revision : svn%3A0b95b8e8-c90f-11de-9d4f-f947ee5921c8/trunk%40715n","False","Feature Addition","f",1,1,1,0,12,0,139,20,95.2251041666667,6,4113,1.01050143246102,2879,0,"plovr",34,0.573445998159,"ham","False","False"
"236","1c1f1b6d452d529765c03f613af4684954d49046","Added pthread library to server taget links","False","Feature Addition","f",1,1,2,0.787126586201269,10,7,25.5,8,0.430515046296296,2,124.5,9.29223139288254,4,0,"psi-toolkit",6,0.575298280714,"ham","False","False"
"100","1de9c67f67118f6163364104c009973d834d42c4","applications/luci-radvd: fix removal of section in overview pagegit-svn-id: http://svn.luci.subsignal.org/luci/trunk@6530 ab181a69-ba2e-0410-a84d-ff88ab4c47bcn","False","None","f",1,1,1,0,10,8,253,1,0.0138078703703704,1,6835,73.4224643755239,1379,0,"openwrt-luci",23,0.625997881952,"ham","False","False"
"32","1e02f41a76128429f53b9497d7076594b2540d0b","Merge pull request #374 from csmith/masterRemove unused return types.","False","Merge","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DMDirc",9,0.5,"ham","False","False"
"211","1ea68926d5fdc3485221c1c4a42a90cc10a1b845","Fix value initialization for Binomial factor in Gibbs solver","True","Corrective","t",2,3,4,1.90324175418054,80,17,240.5,9,3.84235821759259,19,1224.5,9.1875597636197,902,0,"dimple",7,0.5,"ham","False","False"
"95","22a9e242d061e9457f0a08aa647afb3e0d3703a1","OAK-427: ItemDelegate has dependency to TreeImpl#NullLocationgit-svn-id: https://svn.apache.org/repos/asf/jackrabbit/oak/trunk@1406544 13f79535-47bb-0310-9956-ffa450edef68n","False","None","f",2,4,4,1.37088100628114,62,46,265.75,10,9.79252025462963,102,2369.5,1.02878654386215,751,0,"jackrabbit-oak",23,0.0731043949292,"ham","False","True"
"162","24e0eb7263284d433153f2a808d1fd03a2383865","Resynced with GNU Classpath: serialization fixes2004-07-11  Dalibor Topic  <robilad@kaffe.org>nn* libraries/javalib/java/io/ObjectInputStream.java,nlibraries/javalib/java/io/ObjectStreamClass.java:nResynced with GNU Classpath.nn2004-07-10  Jeroen Frijters  <jeroen@frijters.net>nn* java/io/ObjectInputStream.java (readObject): Delegate instantationnof Externalizable classes to ObjectStreamClass.n* java/io/ObjectStreamClass.java (newInstance): New method toninstantiate Externalizable (while ignoring the accessibility ofnthe constructor). (constructor): New field to cache the constructor.n","False","None","f",2,2,3,1.40314060748368,64,23,4084.66666666667,18,31.0826658950617,2567,12010,65.8771555381131,7239,0,"kaffe",67,0.00058407355744,"ham","False","False"
"299","2524f55bbf47a57729cbc9a8295f52203a2e7a58","Fix in sceCcc for NullPointerException when UTF8/UTF16/SJIS string has length 0.git-svn-id: http://jpcsp.googlecode.com/svn/trunk@2827 4ab978e6-3352-0410-996c-0b42db0051c8n","True","Corrective","f",1,1,1,0,5,10,351,20,0.269780092592593,12,5638,4.70672272512763,5099,0,"jpcsp",24,0.735065660888,"ham","False","False"
"89","25ed71034c46b3e122ae5510aacdf42092271dec","tests: extract testing frameworkThis refactoring will allow to create more complex tests which are notnlimited to running only one command inside the guest, but can alsonperform actions and validations which are external to the guest. Suchntest cases are managed by the common test runner (scripts/test.py) andnuse the same guest-management infrastructure, error detection,netc. The common code is extracted to testing.py module. This was inndone with intent to write tests which involve external TCPncommunication.nnSigned-off-by: Tomasz Grabiec <tgrabiec@cloudius-systems.com>nSigned-off-by: Pekka Enberg <penberg@cloudius-systems.com>n","False","Preventative","f",1,2,3,0.922825073250271,214,76,48.6666666666667,16,5.58729552469136,31,561,1.05965915564342,135,0,"osv",65,0.723081782152,"ham","False","False"
"290","260286356942387c8050a2bfc512d66c0699a879","- Add links to reader examples & APIsgit-svn-id: svn+ssh://svn.xp-framework.net/home/svn/xpforge/trunk/experiments@11701 d2cacbed-c0f6-0310-851a-9dad52fc623an","False","Feature Addition","f",1,1,1,0,8,2,9,1,0.545127314814815,1,11917,2.83443385209877,7651,0,"xp-experiments",24,0.5,"ham","False","False"
"166","260602085c0f40ee9a7247ae907f6d9a2a246ce2","GS-803 Build version advanced to 3495-356svn path=/trunk/gigaspaces/; revision=53610nnnFormer-commit-id: 1631a7d0d18244cd34b781ffab8330c708a076cc","False","None","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OpenSpaces",15,0.426493960239,"ham","False","False"
"18","27b8e59c24b9bc39a31248c74d5d59803a14a621","remove temporary leniency","False","None","f",1,1,1,0,3,5,192,99,6.07925925925926,10,2877,1.16449372486901,69,0,"elasticsearch",3,0.74792672657,"ham","True","True"
"360","2911f06571b157c811ee875de6331016aeea0bd6","HIVE-4769 : Vectorized ORC reader does not handle absence of column present stream correctly. (Sarvesh Sakalanaga via Ashutosh Chauhan)git-svn-id: https://svn.apache.org/repos/asf/hive/branches/vectorization@1503883 13f79535-47bb-0310-9956-ffa450edef68n","False","None","f",1,1,1,0,9,2,1665,22,33.055474537037,11,8276,1.03025217498782,4577,0,"hive",33,0.76268539824,"ham","False","False"
"373","2aecd20755fe2bb5e630fa6a55c06118d35056bb","Ignore list createdgit-svn-id: https://ncisvn.nci.nih.gov/svn/geworkbench/trunk/geworkbench@474 8b29bb6e-589a-435a-9a12-3ab907be3462n","False","Feature Addition","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"geworkbench-core",20,0.5,"spam","False","True"
"354","2ccc8fa21367f5b397f2e0312c71694095b7a0f9","Fixed bunch of static analyzer errors, namely leaks, wrong code, unused code, ...)","True","Corrective","t",1,4,12,3.33500202431854,37,30,501.5,14,0.606734182098765,50,2308.5,28.0842736775654,1043,0,"iSoul",10,0.60676762935,"ham","False","True"
"75","2f2877e9fd5c84b462476fe42ca1bae05d183112","[auth.sql] Fix double bookmarks loading","True","Corrective","f",1,1,1,0,2,1,586,3,43.9055902777778,18,17793,1.02277614293928,16707,0,"ajaxplorer-core",6,0.106575121719,"ham","False","False"
"163","2f4230ba2a99a5c3123dead046f1e12b7ec6ecaa","add interface name information when reporting link score changes.","False","Feature Addition","f",1,1,1,0,2,1,699,5,3.95042824074074,9,3378,1.25313711300638,2107,0,"serval-dna",7,0.405450884026,"ham","False","False"
"156","2f59008cdd9e373be2352967ffcef8935c3dc279","Added ability for users to change their own name via the My Profile page - #154 Author: upulgit-svn-id: http://svn.openmrs.org/openmrs/trunk@7207 5bac5841-c719-aa4e-b3fe-cce5062f897an","False","Feature Addition","t",3,5,6,1.94145591368299,149,44,375.666666666667,7,57.388643904321,60,11864.5,1.10348585265709,1660,0,"openmrs-core",24,0.957220918236,"ham","False","False"
"148","2fac4e6f1fd53af79941155c1ea4ba4709ed95ef","Finishing up 3d stuff for now to work on firmware","False","None","f",1,1,1,0,77,60,380,1,0.667141203703704,5,64,2.4989330511268,46,0,"ReplicatorG",5,0.808869496915,"ham","True","True"
"63","3063856c2a7a723eb810ee76c2ea603a1a001964","added sandbox project + inital support for ASM with byte code enhancersvn path=/trunk/openspaces/; revision=13591nnnFormer-commit-id: 55ba6caf4082146ace30dbe67320b84bd8d15984","False","Feature Addition","t",1,22,136,5.99586481674965,31798,4,7.06617647058824,2,0.56626778662854,117,877.5,1.01440519368468,945,0,"OpenSpaces",17,0.5,"ham","False","False"
"349","31bfeb751ae9e5c421489106495e71dea9807f40","moved FO term of a Node's child elements from Children to ChildNodesgit-svn-id: https://svn.apache.org/repos/asf/xmlgraphics/fop/trunk@197835 13f79535-47bb-0310-9956-ffa450edef68n","False","None","t",1,6,17,3.07493635027635,77,78,397.235294117647,24,39.3595697167756,279,1807,1.01595443373488,1665,0,"fop",25,0.18325759532,"ham","False","False"
"348","3212ce7fd9b60c522ff0aa80f2809aeff413d74c","Removing Realtime neural network code until it is cleanroom","False","Perfective","f",1,1,1,0,0,72,72,1,0.604282407407407,1,216,2.65485539168742,216,0,"dANN",6,0.5,"ham","False","False"
"383","322802737dfa9a02aa53907f1f94aa195a0667c4","OAK-3235: Deadlock when closing a concurrently used FileStore Reverting changes from revision 1697368 as they cause SNFEsgit-svn-id: https://svn.apache.org/repos/asf/jackrabbit/oak/trunk@1697955 13f79535-47bb-0310-9956-ffa450edef68n","False","None","f",1,1,1,0,64,84,1229,19,2.09890046296296,107,6653,1.47643993493066,4010,0,"jackrabbit-oak",30,0.464034150185,"ham","False","False"
"247","326bea11123b618e90bf7f13edf4bb0069eff8f2","Fix handling of obsolete messages in libgettextpo.","True","Corrective","t",1,1,4,1.84785481439987,17,7,1337.5,2,0.000775462962962963,256,19392.5,672.641791044776,7374,0,"gettext",5,0.451134808844,"ham","False","False"
"262","33103f504876d99bb367c7d1360963893903a967","Updates to various sections.git-svn-id: http://mobicents.googlecode.com/svn/trunk@544 bf0df8d0-2c1f-0410-b170-bd30377b63dcn","False","None","f",1,1,1,0,2,0,161,1,0.488310185185185,31,661,3.04787864422849,661,0,"mobicents",18,0.610743084663,"ham","True","True"
"96","3349511aeb68c1228e420b3c1ea1758bb75d3e03","GLWindow::main(): show requested/chosen GLCaps","False","None","t",1,1,1,0,6,4,910,17,96.5353009259259,55,8090,1.01035890488151,6188,0,"jogl",5,0.727375936102,"ham","False","False"
"301","3365e9cc4ea829e60ba5d4a9416af10a879853a5","Add clearResults function in search controller to empty the results list.","False","Feature Addition","t",1,1,1,0,4,0,102,27,35.7088541666667,14,6001,1.02800425898105,2030,0,"core-geonetwork",7,0.0383009931673,"ham","False","False"
"379","3372aae3f6717cf8199c63bee84ed7730c2d22ea","cleaning-up. see bug 2044 note 10298git-svn-id: https://ncisvn.nci.nih.gov/svn/geworkbench/trunk/geworkbench@8326 8b29bb6e-589a-435a-9a12-3ab907be3462n","True","Corrective","t",1,1,3,1.56560234979002,3,35,211,21,150.377986111111,15,1923,1.00772977209404,1512,0,"geworkbench-core",22,0.843481256454,"spam","False","False"
"2","349c895f8b7fc4bb19ad9e85eeef0ec63a694b46","EA-50983","False","None","f",1,1,2,0.845350936622437,8,3,963.5,21,4.90938657407407,87,3711.5,1.12254196466405,3526,0,"intellij-plugins",2,0.5,"ham","True","True"
"356","3546fbd5949564ada42a49a5201f5908302868ce","Merge branch 'master' of github.com:ochafik/nativelibs4java","False","Merge","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"nativelibs4java",7,0.0681607196612,"ham","False","True"
"306","354d99e0409af6621bdb81d4bdbcba8e0b17083a","Re-enable the pp2shouldfailtoinstall","True","Corrective","f",1,1,2,0.863120568566631,3,4,80,10,23.5688888888889,16,1296.5,1.28001786764186,1248,0,"rt",3,0.0539211024146,"ham","False","False"
"341","35c300252a2fd5455f119a498cd2f88980d57358","Add inter and intra edges within partition filters","False","Feature Addition","t",1,1,4,1.25793753385571,315,4,71,17,135.453162615741,19,19622.5,1.00251145412815,271,0,"gephi",6,0.836607382656,"ham","False","False"
