"","X","commit_hash","commit_message","fix","classification","contains_bug","ns","nd","nf","entrophy","la","ld","lt","ndev","age","nuc","exp","rexp","sexp","glm_probability","name","commit_words","bayesian_score","spam_ham","jacob","charles"
"13",15,"83f41e35f8f2d36651824adb16382f049664b16a","Comments, and a bit more support for WeakSharedPtr<>","False","None","f",1,1,2,0.543564443199596,8,8,443,4,0.00719907407407407,95,9089.5,105.180064308682,6329,0,"Stroika",4,0.564494267931,"ham","False","False"
"14",16,"5fd32193dbc2913698faafc0d9e7e4ea479c6405","Implement flush for ArchiveFileV3","False","None","f",1,1,1,0,13,0,150,25,9.758125,7,2953,1.1024787036444,194,0,"org",3,0.368742162264,"ham","False","False"
"15",17,"09b48d1bff6d38848dfc99c347c938986f8e982a","  + [RA] Warn if dh_python is used without debian/pycompat in non-CDBS packages and check for the debhelper version required for Python policy.  Thanks, Raphau00c3u00abl Hertzog.  (Closes: #375318)","False","None","f",3,4,6,1.72026392561025,45,1,808.5,4,27.5942978395062,541,491.5,1.01148636316542,160,0,"lintian",20,0.783850266436,"spam","False","False"
"16",18,"edb13d54688dfed1559ae5cfdde4e454dbd4d0ab","Added wait methods","False","Feature Addition","t",1,1,1,0,22,2,2417,8,69.6293171296296,39,9687,1.01436176658373,70,0,"MDSplus",3,0.859381820253,"spam","True","True"
"17",19,"86fc733eee67e4b5cd17a033fa79dc42c6dcfa05","2010-12-06  Jeff Johnston  <jjohnstn@redhat.com>t* maps/linuxtools.map: Add ChangeLog tests plugin.nt* testing.properties: Add ChangeLog tests.nnn","False","None","f",1,2,3,1.14883485428092,7,0,228.666666666667,2,19.0411381172839,226,3595,1.06827687017727,27,0,"linuxtools-systemtap",22,0.866558284094,"ham","False","False"
"18",20,"27b8e59c24b9bc39a31248c74d5d59803a14a621","remove temporary leniency","False","None","f",1,1,1,0,3,5,192,99,6.07925925925926,10,2877,1.16449372486901,69,0,"elasticsearch",3,0.74792672657,"ham","True","True"
"19",21,"c6098ef1fc69fe117343cc2e3db0d2b97b2daa6f","SharedPreferences commit -> apply.Change-Id: I3c54bcd78ed74107840254a9861dc68f9bec3cc8n","False","None","f",1,1,1,0,2,2,1108,5,1.11611111111111,12,0,0,0,0,"android_packages_apps_DeskClock",6,0.601161020146,"ham","True","True"
"20",22,"7279f8979f91fc0941bf364796bb79d3192b9e93","Import revised translations.  DO NOT MERGEApprover: jerrywn","False","Non Functional","f",1,3,3,1.2987949406954,8,8,64,9,0.941956018518519,54,227,1.64876820052835,228,0,"android_packages_apps_ADWLauncher",7,0.0620830017936,"ham","True","False"
"21",23,"3ad015dde9af5522b33b528e81786c0e63242c4b","All commented code was removed in calonder and ferns samplegit-svn-id: file://localhost/home/tolik/svnrepo/trunk@2920 c5418bc3-7546-4aae-8bad-fa6f2f3e53e6n","False","None","f",1,1,2,0.522559374536941,4,13,223,19,5.17454282407407,4,85.5,2.31957470286625,59,0,"opencv_attic",21,0.928341350752,"spam","False","False"
"22",24,"184b197edb3397537154222930434f113b9ecdbb","changed ProgressIndicator to be more close to IProgressMonitorgit-svn-id: http://svn.esdi-humboldt.eu/repo/humboldt2/branches/gssoil@4938 5d385326-3dfc-11dd-8f4f-eb0017f4c70cn","False","None","f",1,8,8,2.55339877389659,40,36,255,14,5.8221556712963,76,5693.5,1.05556646855081,5244,0,"hale",21,0.697039603666,"ham","False","False"
"23",25,"0fcaaf29d2939b93dca80e79603857fa2f0e7d6a","we now use JIRAgit-svn-id: https://mifos.svn.sourceforge.net/svnroot/mifos/trunk@16502 a8845c50-7012-0410-95d3-8e1449b9b1e4n","False","None","f",1,1,1,0,2,2,329,47,35.4656481481481,35,14300,1.0281962984526,42,0,"mifos-head",18,0.561586995742,"ham","False","False"
"24",26,"53257e8bd9e89a04a82b88309cfd304c9ca0876f","ActiveMQ 5.4.0 and RA try block for waitForStart (start now does this). Quartz 1.8.4 OpenJPA 2.0.1 Fixed ActiveMQ 4 and 5 pom deps on spring libs - optional for bean configuration. simple-cmp2/pom.xml was missing agent. Added missing embedded.logging.properties and corrected path in pom for openejb-spring. Fixed spring tests - It is a bad idea to include org.springframework:spring, only 'required' spring libs should be used.OpenEjb2ConversionTest.java added normalization on loaded files as test was failing on simple CRLF - David please make sure I have not just fixed a test rather than the cause?nnAdded list synchronization to ScheduleTest.java - Test was occasionally failing due to this timing issues.nnnnngit-svn-id: https://svn.apache.org/repos/asf/openejb/trunk/openejb3@997688 13f79535-47bb-0310-9956-ffa450edef68n","True","Corrective","f",5,18,18,2.69484998644508,2442,2232,189.444444444444,18,159.602460776749,603,9.5,1.00673700406879,4,0,"tomee",103,0.000188929083784,"ham","False","False"
"25",27,"a3a170eb39f6b7a63389c47c1893a1c3d274713a","Improved feature_get in DBGPgit-svn-id: https://overture.svn.sourceforge.net/svnroot/overture/trunk@161 2b2d4d09-c93c-414a-ad04-6e973f5c1cffn","False","None","f",1,1,1,0,14,10,1216,3,0.114826388888889,8,395,9.7087995161778,395,0,"overture",19,0.270536902181,"ham","False","False"
"26",28,"b51b0a5f5fb8cb90422d10ebe2c16a5a4a1ab8a3","Testing out my new committer account.git-svn-id: https://svn.apache.org/repos/asf/stanbol/trunk@1680367 13f79535-47bb-0310-9956-ffa450edef68n","False","Feature Addition","f",1,1,1,0,2,0,54,16,671.353055555556,3,0,0,0,0,"stanbol",21,0.785008230984,"ham","False","False"
"27",29,"03b2aaa44a745363f523fa52d54656e80d667112","convert to plug-in project","False","None","f",1,2,3,1.56005087890449,23,5,9,5,405.219143518518,7,3968,1.00107605928804,218,0,"gef",3,0.796642009767,"spam","False","False"
"28",30,"493be041b9e9bcb716c7ea5a9135a3a324a0d767","WBRi-306, policy support, and remove remaining deployment typesgit-svn-id: http://anonsvn.jboss.org/repos/weld/ri/trunk@3390 1c488680-804c-0410-94cd-c6b725194a0en","False","None","t",3,34,79,5.42721017385679,271,950,115.025316455696,11,43.2827351441632,582,11011,1.00210739170446,912,0,"core",24,0.5,"ham","False","True"
"29",31,"8535e20f0675c7b605fa6789194beb10577d364e","Add initial support for evaluating 'boolean'-based setupsgit-svn-id: https://svn.apache.org/repos/asf/lucene/mahout/trunk@791905 13f79535-47bb-0310-9956-ffa450edef68n","False","Feature Addition","t",1,2,4,1.16981189435416,456,3,230,6,21.2499913194444,31,2203.5,1.02146336469054,1826,0,"mahout-commits",24,0.698671435854,"ham","False","False"
"30",32,"079cd485f32840311f54518ced872036a990885d","[FIX] XQuery: descendant to child path resolution revised","True","Corrective","t",1,7,14,3.2296723367048,29,25,288.142857142857,35,13.4886665013228,441,673.5,1.03208364680217,662,0,"basex-all",7,0.497812625209,"ham","False","False"
"31",34,"0b30bdfd327e240c2d3e565235959bccd9fc6884","DOC: update to index.html","False","Non Functional","f",1,1,1,0,3,1,356,4,78.0272222222222,23,0,0,0,0,"slicer2",4,0.908343755939,"spam","False","True"
"32",35,"1e02f41a76128429f53b9497d7076594b2540d0b","Merge pull request #374 from csmith/masterRemove unused return types.","False","Merge","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DMDirc",9,0.5,"ham","False","False"
"33",37,"a2f1b447244911ea39c06234aee3899bdb04a841","Nullpointer temporaty fix","True","Corrective","f",1,1,1,0,34,29,2415,11,1.94328703703704,137,92,1.51459201905896,92,0,"com",3,0.000217631229271,"ham","False","False"
"34",38,"cd2ca63c5a9d58243432720f9d58f07e21e4233e","async retrieval of private document URL","False","Non Functional","f",1,1,2,0.976874012626528,51,5,134,4,5.01125,14,1351.5,1.5625926268135,201,0,"overview-server",5,0.783158073501,"ham","False","False"
"35",39,"e9d3dd60ba77a1723ad8e97aea2782e8d562e046","JOP13","False","None","f",1,1,1,0,3,13,-9794,21,0.490810185185185,2512,2015,3.03744753100976,2015,0,"android_build",1,0.822790951727,"spam","True","True"
"36",40,"d79fe29c3a14d274426f931200bb838c2d77a227","HIVE-3465. insert into statement overwrites if target table is prefixed with database name (Navis Ryu via cws)git-svn-id: https://svn.apache.org/repos/asf/hive/trunk@1390343 13f79535-47bb-0310-9956-ffa450edef68n","True","Corrective","f",1,3,5,0.626764027266455,434,11,2009.4,19,61.891375,338,1108,1.00576502577124,553,0,"hive",29,0.776717192805,"ham","False","False"
"37",41,"11a31c003fa4d1aeb033f58eaa6bfe6c8d41bd5a","TEIDDES-2094: Adds function for converting annotated translator classes into mxd files* Takes a teiid annotated translator source file, reads the annotationsn  and outputs an mxd xml file ready to be plugged into designer.n","False","None","f",2,8,15,2.9779886048516,2783,2,20.2666666666667,16,30.9276350308642,41,17732,1.03559523331636,1621,0,"teiid-designer",26,0.5,"ham","False","False"
"38",42,"98dc8f33df942b8b8505c3bda279a5a75eec34da","processes plugin: Remove trailing whitespaces.","False","None","t",1,1,1,0,3,3,1268,12,0.000300925925925926,51,1778,3324.07692307692,1346,0,"collectd",5,0.856686543245,"spam","False","False"
"39",43,"ab378a9347dfe73a1d62f79f8b00a28dd07aac64","7106092: Bump the hs23 build number to 05 Reviewed-by: johnc Contributed-by: alejandro.murillo@oracle.com","False","None","f",1,1,1,0,1,1,45,24,7.10413194444444,90,379,1.14076315133505,30,0,"hotspot",13,0.780393310634,"ham","False","False"
"40",44,"527c48812d3732d71299cd6d804b0bc413e4a2a5","Use OHHTTPStubs instead of Nocilla","False","None","f",3,18,71,1.95838411930688,4038,4766,128.859154929577,15,2.5650440140845,536,4836,10.6810945630217,295,0,"iostest",4,0.701357478584,"spam","False","False"
"41",45,"ab49fa683a4c95878fa3ca81888e599b251ea6de","create a headless injection context","False","Feature Addition","f",1,1,1,0,12,6,57,13,0.0295601851851852,3,48962,34.8292873923258,13536,0,"bonita-studio",4,0.556765465795,"spam","False","False"
"42",46,"96a0484880dfb434c68712568505f85181e7d7a4","bug 78052: Support for Eclipse 3.1M3: Move some classes to src30 to make way for 3.1-specific versions","True","Corrective","f",1,4,4,1.85536920670702,668,668,167,1,24.6051909722222,2,2878.5,1.01270057201965,1047,0,"org",15,0.0503589566833,"ham","False","False"
"43",47,"185ef1d4cf1ecfe0d963ea021982c2fda4aab776","Add missing @override to goog.ui (part 2).R=nnazenDELTA=43  (19 added, 16 deleted, 8 changed)nnnRevision created by MOE tool push_codebase.nMOE_MIGRATION=4840nn--HG--nbranch : closure-librarynextra : convert_revision : svn%3A0b95b8e8-c90f-11de-9d4f-f947ee5921c8/trunk%401897n","False","Feature Addition","f",1,2,18,3.51776707826028,27,24,336.611111111111,90,26.9313361625515,279,650.5,1.01020731466079,637,0,"plovr",35,0.813612307074,"ham","False","False"
"44",49,"41d0f0ae101dd1639e294b0bef4cf907a9c5eb81","votegit-svn-id: https://svn.apache.org/repos/asf/tomcat/tc6.0.x/trunk@947608 13f79535-47bb-0310-9956-ffa450edef68n","False","None","f",1,1,1,0,8,1,198,7,0.0296527777777778,2110,1006,34.7236533957845,297,0,"tomcat60",20,0.843191240932,"spam","True","True"
"45",50,"9f21fac2a00d7ab410b1d9c3e86f76c36d531378","Implemented Wii navigation for hierarchical heatmap (collapsing 2nd layer when moving head to heatmap). This is a small demo that will be shown as a 2D scene manipulation case for head tracking in info vis applications.Fixed bug with live connection lines in Wii mode for top and bottom bucket layer.nngit-svn-id: svn://localhost:8080/caleydo_main/trunk@1723 1f7349ae-fd9f-0d40-aeb8-9798e6c0fce3n","True","Corrective","f",1,5,6,1.57510965019537,97,82,770.166666666667,6,0.544598765432099,127,29251.5,2.66333621153489,6840,0,"caleydo",47,4.18809162933e-05,"ham","False","False"
"46",51,"f46e4e690023487fcdc43bfeb1c803d87a663047","net: switch kern_accept() to make_file()Signed-off-by: Avi Kivity <avi@cloudius-systems.com>nSigned-off-by: Pekka Enberg <penberg@cloudius-systems.com>n","False","None","f",1,1,1,0,8,5,1624,11,1.15740740740741e-05,5,2592,86401,218,0,"osv",19,0.5,"ham","False","False"
"47",52,"934de904371d5993555187bdd81c274921d68aee","ICE-9304 fixed 'escape' attributegit-svn-id: http://anonsvn.icesoft.org/repo/icefaces3/trunk/icefaces@38555 1de00972-ac04-4911-a46b-06793c8d78d9n","True","Corrective","f",1,1,1,0,2,1,186,15,116.942766203704,2,5495,1.00855119159964,3190,0,"icefaces",21,0.5,"ham","True","False"
"48",53,"80ccdc16366a886a8a0d08b58b346e82747a8fc2","whitespace","False","None","f",1,1,1,0,7,10,136,11,74.2699652777778,4,1238,1.01346439299197,863,0,"JacORB",1,0.804449421327,"ham","True","True"
"49",54,"4841618263b3a32a3b8a3ffa14748448c816dc23","corrected forgotten Catalogue with cataloguegit-svn-id: http://www.molgenis.org/svn/molgenis_apps/trunk@9349 42de9c89-b41c-0410-9fa9-f33e7b6bda7an","False","None","f",1,1,4,1.68581570915303,11,11,49.25,1,0.0684027777777778,4,218.5,8.61421319796954,91,0,"molgenis_apps-legacy",19,0.197747462992,"ham","True","False"
"50",55,"7121d3e4393ea4a3d7620c8a47927c00905ad217","Created DefaultResourceConfig class. This is now used by the APT tool thus limiting the dependency of code generation.","False","Feature Addition","t",3,11,15,3.1909313607254,212,180,123.4,3,2.97415817901235,93,1114,1.13107468835056,232,0,"jersey-1",11,0.5,"ham","False","False"
"51",56,"e035510c23f74210a8c754398a03acb44bc9e538","Introduces Microbenchmarks app in references. At the moment there is only one benchmark, comparing widget creation strategies.Review by jaimeyap, tbroyer, jgw, jamesrnnhttp://gwt-code-reviews.appspot.com/127801nngit-svn-id: https://google-web-toolkit.googlecode.com/svn/trunk@7357 8db76d5a-ed1c-0410-87a9-c151d255dfc7n","False","None","f",2,5,19,3.68269497727828,884,0,0,28,18.62866167154,2,1801,0.0527802790070579,48,0,"gwt",38,0.5,"spam","False","False"
"52",57,"7b369b66945af6eb9f92f62db84999e18b57ff7e","GS-7675Apache Load Balancer Agent fails on non .conf files in configurationnnsvn path=/trunk/openspaces/; revision=67620nnnFormer-commit-id: 4720fbe2545beb58a43f56d760edf228a5f5fe12","True","Corrective","f",1,1,1,0,5,3,546,9,297.140949074074,10,7639,1.00336540622595,7639,0,"OpenSpaces",18,0.86971712046,"spam","False","False"
"53",58,"a5b211b5a0d418f4d7fd1ee75190429dc6609460","Fmrc SCAN (files)  GridDataset show misisng values in CoordSys panal fix unit testsgit-svn-id: http://svn.unidata.ucar.edu/repos/thredds/trunk@11519 2e3060e4-1ed8-cf1f-9cc2-9586e844a556n","True","Corrective","t",5,11,12,2.88303070815826,91,27,600.166666666667,10,58.2638020833333,467,19032.5,1.07084124641932,1181,0,"THREDDS",27,0.465462531909,"ham","False","False"
"54",59,"586220d1f51c3f490e19caa05d12e1b4092addb3","replacing get set operations","False","None","t",3,115,126,5.51127264316862,1513,1487,124.849206349206,57,163.105433476631,778,90.5,1.00027438785353,22,0,"aura",3,0.251045235821,"ham","False","False"
"55",60,"12353810d496d1f5c02d747c2e9e6c36b36b9d31","Removed fixed limit on number of tile images (was 5000)","True","Corrective","f",1,1,1,0,94,71,2825,4,0.213263888888889,85,7116,5.68902637577336,4726,0,"DynmapCore",7,0.0769252429739,"ham","False","False"
"56",61,"958776756d8349cdedbbbdf356503e94791c5f9d","New man pages for pmDiscoverServices(3) and pmFind(1).","False","Feature Addition","f",1,2,4,1.21168346970711,182,4,43.5,21,41.6023524305556,60,667.5,1.01830364844759,12,0,"pcp",7,0.642384717712,"ham","False","False"
"57",62,"b7e473cacf1dc060b9d7925bd2052248770485dc","[SHRINKWRAP-308] Fix NPE when attempting to find a URL from ShrinkWrapClassLoader pointing to an Asset that does not exist","True","Corrective","f",2,2,2,0.890491640219491,38,1,214.5,5,3.75701388888889,6,2971.5,1.19962662427682,956,0,"shrinkwrap",10,0.44145893562,"ham","False","False"
"58",64,"625578997cc58bc28d568916d84781f35968244e","changing to generally ignore .settings folders","False","None","f",1,1,1,0,2,1,16,7,33.2479166666667,5,21,1.03007707249828,0,0,"udig-platform",5,0.772359761736,"ham","False","False"
"59",65,"141da30089fadd1117b221e4fbaef3921c413752","KV pairs updategit-svn-id: http://svn.esdi-humboldt.eu/repo/humboldt2/trunk@3158 5d385326-3dfc-11dd-8f4f-eb0017f4c70cn","False","None","f",1,1,1,0,1,0,14,4,34.6013888888889,2,80,1.02890057399751,49,0,"hale",19,0.0562448633442,"ham","True","False"
"60",66,"52087b4e205395592325c650ab8e7b3bee868667","Docs tweaks","False","Non Functional","f",1,2,2,0.485460760745913,8,11,55,23,0.0090625,4,7911.5,216.412293853073,3906,0,"TiddlyWiki5",2,0.695385469085,"spam","True","True"
"61",67,"5d8d8128cc5cad6c00615044bafc2cd7c44bc0e0","changing <finalName>portal2</finalName> => <finalName>portal</finalName>","False","None","f",1,1,1,0,1,1,226,4,13.8728819444444,21,447,1.0720830757448,18,0,"portal",7,0.696685056234,"ham","False","False"
"62",68,"cb2306b4032fee340394d53ca808e521002da082","how about this?git-svn-id: https://valelab.ucsf.edu/svn/micromanager2/trunk@5910 d0ab736e-dc22-4aeb-8dc9-08def0aa14fdn","False","None","f",1,1,1,0,1,1,155,5,0.0003125,19,1802,3201,53,0,"PrecisExciteTCP",16,0.592183768001,"ham","True","True"
"63",69,"3063856c2a7a723eb810ee76c2ea603a1a001964","added sandbox project + inital support for ASM with byte code enhancersvn path=/trunk/openspaces/; revision=13591nnnFormer-commit-id: 55ba6caf4082146ace30dbe67320b84bd8d15984","False","Feature Addition","t",1,22,136,5.99586481674965,31798,4,7.06617647058824,2,0.56626778662854,117,877.5,1.01440519368468,945,0,"OpenSpaces",17,0.5,"ham","False","False"
"64",70,"471743d1aee84a07c57d1faf4be783963194c32c","","False","None","f",1,1,1,0,2,2,163,8,1.19326388888889,4,2743,1.83803759529768,54,0,"aio-portal",0,0.803611827993,"spam","True","True"
"65",71,"180211d20e57ca689bb956e7d2fd332b91dd9b31","Changed return value of read.","False","None","f",1,5,6,2.05108289894018,22,47,668.166666666667,18,0.625532407407407,257,34597.5,1.77517071846612,5195,0,"mona",4,0.000174945276874,"ham","False","False"
"66",72,"8ce17bddae5d1c0ef3530b44eb6a351f98f81599","make seatiles smaller to improve correctness of results","False","None","f",1,1,1,0,3,3,904,7,348.116666666667,55,2477,1.00287260018193,671,0,"sharenav",6,0.320007831626,"ham","False","False"
"67",73,"bbf9af0cf19e34863d0d6a2c3b7d605207570f75","am 6ab691b6: (-s ours) am f57c1564: (-s ours) Import translations. DO NOT MERGE* commit '6ab691b69ea9bc879c7ff854b5eb4f49cf0c864c':n  Import translations. DO NOT MERGEn","False","Merge","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"packages_apps_SlimLauncher",15,0.729927060522,"ham","False","False"
"68",74,"79708d949f9a7eb1f0422ac93d14fecfa6412362","Fixed bug 126714: [preferences] Default Undo History Size is too small","True","Corrective","f",1,1,1,0,1,1,419,13,76.2701736111111,19,7463,1.01311128522008,1200,0,"eclipse",9,0.763739882923,"spam","False","False"
"69",75,"1495865c87f8f35c3e23bd0696e9ad8a7ff5bea0","Trivial fix for issue 4067, UiBinderGenerator is not stable. Miguel would have fixed this earlier, but thought that the values from domId were being used directly as, well, DOM ids. Actually they name Java fields which will hold dom ids at runtime, generated by calls to com.google.gwt.dom.client.Document.get().createUniqueId().Manually tested stability via diff of generated codennReviewed by mmendeznngit-svn-id: https://google-web-toolkit.googlecode.com/svn/trunk@6486 8db76d5a-ed1c-0410-87a9-c151d255dfc7n","True","Corrective","f",1,1,1,0,2,2,1399,31,0.60037037037037,16,1182,2.66563849475632,943,0,"gwt",55,0.71768813427,"ham","False","False"
"70",76,"5ed0f591e090279221de38ae973213a676060630","GS-803 Build version advanced to 3497-300svn path=/trunk/gigaspaces/; revision=55520nnnFormer-commit-id: 234d60136b601f312f18e073f1e624b89d556955","False","None","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OpenSpaces",15,0.630164749154,"spam","False","False"
"71",77,"db61aa917ad839d91c87dd9bb3d169ff70dda575","removed docs make packagegit-svn-id: http://scm.dspace.org/svn/repo/trunk@1243 9c30dcfa-912a-0410-8fc2-9e0234be79fdn","False","Non Functional","f",1,1,1,0,0,36,36,4,0.00380787037037037,1,188,263.613981762918,188,0,"DSpace-SVN-Deprecated",19,0.5,"ham","False","True"
"72",78,"4ff4e7f34de97cce956ea78e9fd02568f6ad5142","Merge branch 'master' into intro","False","Merge","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"android-arabic-reader",4,0.70857751192,"ham","False","False"
"73",79,"f7502a927785c49a6a2b943cb0179a90ee49417f","Added ReadBuffer::Reset().","False","Feature Addition","f",1,1,2,0.591672778582327,7,0,115,6,40.0127199074074,40,3585.5,1.01908239788905,3364,0,"scaliendb",3,0.651272894491,"ham","False","False"
"74",80,"ddf4270c7c09562dc4eff6f66940ceb89ac8995f","Show Notification when parsing vCard failed.Bug: 3330767nChange-Id: Ide850c72a49deef50b8ab547abb33ff8738adc22n","True","Corrective","t",2,2,3,1.22506110558971,70,16,1201.66666666667,24,8.75722608024691,241,282,1.06343970226757,204,0,"android_packages_apps_Contacts",9,0.000194799751909,"ham","False","False"
"75",81,"2f2877e9fd5c84b462476fe42ca1bae05d183112","[auth.sql] Fix double bookmarks loading","True","Corrective","f",1,1,1,0,2,1,586,3,43.9055902777778,18,17793,1.02277614293928,16707,0,"ajaxplorer-core",6,0.106575121719,"ham","False","False"
"76",82,"ae58058c41bc807c404a3875b6a6c2a1f76b680b","v2.0a11 - passed all regtests with linux-x86 (gcc47, gcc47, clang++) and MSVC2k13/windows","False","Preventative","f",1,1,1,0,2,2,64,5,0.0062037037037037,24,24140,162.194029850746,17324,0,"Stroika",11,0.762728622109,"ham","False","True"
"77",83,"1aa0ee5d5fc4d1a4e9d83758f36742f94713ad0c","add test for goog.math.Box.boundingBoxR=brennemannDELTA=12  (12 added, 0 deleted, 0 changed)nnnRevision created by MOE tool push_codebase.nMOE_MIGRATION=582nn--HG--nbranch : closure-librarynextra : convert_revision : svn%3A0b95b8e8-c90f-11de-9d4f-f947ee5921c8/trunk%40715n","False","Feature Addition","f",1,1,1,0,12,0,139,20,95.2251041666667,6,4113,1.01050143246102,2879,0,"plovr",34,0.573445998159,"ham","False","False"
"78",84,"0a627aa86c7e196320199b40fb5b08fe135e378f","Added a leveldb based message store.","False","Feature Addition","f",1,11,19,3.25432008719483,1388,0,12.5263157894737,7,1.42441398635478,9,1396,0.0545762966551621,976,0,"fuse",5,0.520488733808,"ham","False","False"
"79",85,"e3fbba61c69957bfd10b0e3ccd4633727f983459","Select the collection already selected in the previous operation","False","None","f",1,5,5,1.06999381699539,275,22,374,52,116.99249537037,60,167,0.80276495545097,114,0,"DSpace",5,0.337251041582,"ham","False","False"
"80",86,"3c6953f2e015d76ea0cec1f6c02a151efe1eb7d4","(texinfo-mode::semantic-analyze-current-context): Use new `semantic-ctxt-current-symbol-and-bounds' over older API that is now gone.","False","None","f",1,1,1,0,2,4,671,5,7.29782407407407,36,4625,1.13702714533124,2372,0,"cedet",16,0.21120857839,"ham","False","False"
"81",87,"458a02425162f83fb7a74f0455f7ab8b36819a43","Fixed output typeSigned-off-by: berger killer <bergerkiller@gmail.com>n","True","Corrective","t",1,1,1,0,6,6,70,32,0.151770833333333,1,197,7.58888126286891,197,0,"Spout",9,0.743793421127,"ham","False","True"
